Number_of_prior_offenses,Frequency_of_previous_bail_violations,Potential_sentence_length,Age,Existing_debts_or_liabilities,Bail_amount,Severity_of_current_offense,Types_of_prior_offenses,Gender,Employment_status,Marital_status,Financial_stability,Property_ownership,Family_connections,Community_involvement,Stability_of_residence,Previous_compliance_with_court_orders,History_of_bail_conditions_adherence,Attempt_to_Flee
6,2,17,66,35426,11129,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,None,Stable,Compliant,Adherent,No
15,1,1,77,9597,21035,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Rents,Strong,None,Stable,Compliant,Adherent,Yes
6,1,17,27,15454,48668,High,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,No_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
19,8,9,28,86325,37126,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Unstable,Non-Compliant,Adherent,Yes
16,8,5,29,66219,22632,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Rents,Strong,None,Stable,Compliant,Adherent,Yes
8,0,5,59,60290,41654,High,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,No_Property,Weak,Inactive,Unstable,Compliant,Adherent,No
9,8,1,31,61379,40307,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,No_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
3,2,9,29,54135,9881,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,No_Property,Strong,Active,Unstable,Compliant,Adherent,No
8,1,8,39,7585,25147,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Owns_Property,None,Inactive,Unstable,Compliant,Adherent,No
9,9,13,21,37897,13683,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Weak,Inactive,Stable,Compliant,Non-Adherent,Yes
7,6,8,39,48514,37720,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Weak,Active,Stable,Compliant,Adherent,Yes
8,3,17,42,44666,43832,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,No_Property,Weak,None,Stable,Compliant,Adherent,No
9,2,13,30,54944,22269,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
10,0,17,64,25702,7673,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Rents,None,Active,Unstable,Compliant,Adherent,No
15,1,10,71,91540,38545,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,Weak,Active,Unstable,Non-Compliant,Adherent,Yes
0,0,6,23,56133,4283,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
14,6,3,29,91714,35649,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Active,Stable,Compliant,Non-Adherent,Yes
3,2,15,47,36138,33995,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,None,None,Stable,Compliant,Adherent,No
1,0,5,34,93578,19707,High,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Unstable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,No
5,0,14,52,35448,21826,Medium,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
5,3,12,70,87111,44062,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Rents,Weak,None,Unstable,Compliant,Adherent,No
15,3,8,23,26422,45381,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Weak,Inactive,Stable,Compliant,Adherent,Yes
10,9,14,75,62300,10372,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,None,Inactive,Stable,Non-Compliant,Adherent,Yes
3,1,4,25,97367,18586,High,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,No_Property,Strong,Active,Unstable,Compliant,Adherent,No
12,5,6,52,61133,4169,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,None,Active,Stable,Compliant,Adherent,Yes
4,3,1,24,57816,34541,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Owns_Property,None,None,Stable,Non-Compliant,Adherent,No
13,5,18,49,44444,38332,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,Yes
0,1,8,64,53891,15814,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,None,Active,Unstable,Non-Compliant,Adherent,No
0,3,14,41,70130,17758,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Active,Stable,Non-Compliant,Adherent,No
9,2,11,63,44378,9372,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Rents,None,Active,Stable,Compliant,Adherent,No
6,0,16,51,97019,34721,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Weak,Inactive,Stable,Non-Compliant,Adherent,Yes
9,9,17,34,74184,47264,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Weak,None,Stable,Compliant,Non-Adherent,Yes
10,4,11,61,40878,4418,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Weak,None,Stable,Compliant,Non-Adherent,Yes
18,0,18,33,60945,14982,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,No_Property,None,Inactive,Unstable,Compliant,Adherent,Yes
9,2,6,57,24421,19956,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,Weak,Active,Stable,Compliant,Adherent,No
15,4,6,53,6694,14154,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Active,Stable,Non-Compliant,Adherent,Yes
3,1,6,54,36543,24157,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Owns_Property,Weak,Inactive,Stable,Compliant,Adherent,No
0,5,5,26,9727,46166,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,No_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
14,1,12,77,27684,11622,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Active,Unstable,Compliant,Adherent,Yes
6,1,17,36,55254,1910,High,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,No_Property,Weak,None,Stable,Compliant,Adherent,No
5,0,1,77,17578,33029,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Strong,None,Stable,Non-Compliant,Adherent,No
5,7,15,71,83321,4058,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,No_Property,Strong,Active,Stable,Non-Compliant,Adherent,Yes
7,0,19,25,66595,39837,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,Strong,Active,Unstable,Compliant,Adherent,No
5,8,14,22,15032,23605,High,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Unstable,Rents,Weak,Inactive,Unstable,Compliant,Adherent,Yes
5,2,15,77,71453,16584,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,Weak,Active,Stable,Non-Compliant,Adherent,No
14,4,16,42,3795,43346,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Owns_Property,Strong,Inactive,Unstable,Compliant,Non-Adherent,Yes
12,3,15,54,64248,17379,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Weak,Active,Unstable,Compliant,Non-Adherent,Yes
17,0,2,79,91561,11582,High,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,No_Property,Strong,Active,Unstable,Compliant,Adherent,Yes
4,9,2,24,67829,8062,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Owns_Property,None,Active,Unstable,Compliant,Adherent,Yes
5,9,2,27,20764,11233,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,No_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
15,6,3,42,98954,4101,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,Yes
10,2,6,72,3184,14235,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
2,4,19,74,69016,10877,High,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,No_Property,Weak,Inactive,Unstable,Compliant,Adherent,Yes
9,1,19,62,92708,31051,Medium,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
